SRA_ID	BioProject	BioSample	LibraryLayout	tissue
SRR15235146	PRJNA749377	SAMN20368253	PAIRED	mature rhizomes
SRR15235147	PRJNA749377	SAMN20368252	PAIRED	mature rhizomes
SRR15235142	PRJNA749377	SAMN20368257	PAIRED	old rhizomes
SRR15235143	PRJNA749377	SAMN20368256	PAIRED	old rhizomes
SRR15235144	PRJNA749377	SAMN20368255	PAIRED	old rhizomes
SRR18072319	PRJNA807819	SAMN26004793	PAIRED	rhizome
SRR18072321	PRJNA807819	SAMN26004791	PAIRED	rhizome
SRR18072322	PRJNA807819	SAMN26004790	PAIRED	rhizome
SRR18072323	PRJNA807819	SAMN26004789	PAIRED	rhizome
SRR18072324	PRJNA807819	SAMN26004788	PAIRED	rhizome
SRR18072325	PRJNA807819	SAMN26004787	PAIRED	rhizome
SRR12329096	PRJNA647255	SAMN15647981	PAIRED	rhizome
SRR15431005	PRJNA754090	SAMN20741530	PAIRED	rhizome
SRR15431006	PRJNA754090	SAMN20741529	PAIRED	rhizome
SRR15431007	PRJNA754090	SAMN20741528	PAIRED	rhizome
SRR15431008	PRJNA754090	SAMN20741527	PAIRED	rhizome
SRR15431009	PRJNA754090	SAMN20741526	PAIRED	rhizome
SRR15431010	PRJNA754090	SAMN20741525	PAIRED	rhizome
SRR15431011	PRJNA754090	SAMN20741524	PAIRED	rhizome
SRR15431012	PRJNA754090	SAMN20741523	PAIRED	rhizome
SRR15431013	PRJNA754090	SAMN20741532	PAIRED	rhizome
SRR15431014	PRJNA754090	SAMN20741531	PAIRED	rhizome
SRR15431015	PRJNA754090	SAMN20741522	PAIRED	rhizome
SRR15431016	PRJNA754090	SAMN20741521	PAIRED	rhizome
SRR5313727	PRJNA376857	SAMN06450317	PAIRED	rhizome
SRR5512048	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512049	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512051	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512052	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512053	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512054	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512056	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512057	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512058	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR5512059	PRJNA380972	SAMN06660144	PAIRED	Rhizome
SRR7591097	PRJNA477462	SAMN09711364	PAIRED	rhizome
SRR7842029	PRJNA491232	SAMN10067989	PAIRED	Rhizome
SRR21160243	PRJNA870703	SAMN30383192	PAIRED	Rhizome
SRR12329100	PRJNA647255	SAMN15647984	PAIRED	rhizome heart
SRR12329101	PRJNA647255	SAMN15647984	PAIRED	rhizome heart
SRR12329102	PRJNA647255	SAMN15647984	PAIRED	rhizome heart
SRR12329103	PRJNA647255	SAMN15647984	PAIRED	rhizome heart
SRR12329104	PRJNA647255	SAMN15647984	PAIRED	rhizome heart
SRR12329105	PRJNA647255	SAMN15647984	PAIRED	rhizome heart
SRR12329094	PRJNA647255	SAMN15647986	PAIRED	rhizome skin
SRR12329095	PRJNA647255	SAMN15647986	PAIRED	rhizome skin
SRR12329097	PRJNA647255	SAMN15647986	PAIRED	rhizome skin
SRR12329098	PRJNA647255	SAMN15647986	PAIRED	rhizome skin
SRR12329099	PRJNA647255	SAMN15647986	PAIRED	rhizome skin
SRR12329111	PRJNA647255	SAMN15647987	PAIRED	tip of laterally growing rhizome
SRR12329112	PRJNA647255	SAMN15647987	PAIRED	tip of laterally growing rhizome
SRR12329113	PRJNA647255	SAMN15647987	PAIRED	tip of laterally growing rhizome
SRR12329114	PRJNA647255	SAMN15647987	PAIRED	tip of laterally growing rhizome
SRR12329115	PRJNA647255	SAMN15647987	PAIRED	tip of laterally growing rhizome
SRR12329106	PRJNA647255	SAMN15647985	PAIRED	tip of upward growing rhizome
SRR12329108	PRJNA647255	SAMN15647985	PAIRED	tip of upward growing rhizome
SRR12329109	PRJNA647255	SAMN15647985	PAIRED	tip of upward growing rhizome
SRR12329110	PRJNA647255	SAMN15647985	PAIRED	tip of upward growing rhizome
SRR15235148	PRJNA749377	SAMN20368251	PAIRED	young rhizomes
SRR15235149	PRJNA749377	SAMN20368250	PAIRED	young rhizomes
SRR15235150	PRJNA749377	SAMN20368249	PAIRED	young rhizomes
